CS+ = ['ORN_DM6', 'ORN_DP1m', 'ORN_VM5d', 'ORN_DC2', 'ORN_DM5']
CS- = ['ORN_VA2', 'ORN_DP1l', 'ORN_VM7d', 'ORN_DA4m', 'ORN_VM1']
single-glomerulus probe: ORN_DM6

thresh  apl_w   kk |  CS+ act  CS- act   %KC | shared jaccard  indep |  CS+ spk  CS- spk | 1-glom act
   1.5    0.0  1.0 |      875      853  21.3 |    586   0.513  0.119 |    11082    11271 |        536   (11s)
   1.5    1.0  1.0 |      251      246   6.1 |    138   0.384  0.032 |     2564     2639 |        193   (11s)
   1.5    3.0  1.0 |      138      126   3.2 |     70   0.361  0.017 |     1225     1285 |        107   (11s)
   1.5   10.0  1.0 |       63       55   1.5 |     30   0.341  0.007 |      491      527 |         55   (11s)
   2.0    0.0  1.0 |      280      286   7.0 |    153   0.370  0.036 |     2425     2646 |        144   (11s)
   2.0    1.0  1.0 |      139      132   3.3 |     67   0.328  0.017 |     1058     1189 |         97   (11s)
   2.0    3.0  1.0 |       79       76   1.9 |     39   0.336  0.010 |      574      667 |         61   (11s)
   2.0   10.0  1.0 |       37       44   1.0 |     15   0.227  0.005 |      257      300 |         34   (11s)
   2.5    0.0  1.0 |       49       67   1.4 |     25   0.275  0.007 |      281      467 |         26   (11s)
   2.5    1.0  1.0 |       33       52   1.0 |     16   0.232  0.005 |      219      329 |         22   (11s)
   2.5    3.0  1.0 |       23       35   0.7 |     10   0.208  0.004 |      164      224 |         20   (11s)
   2.5   10.0  1.0 |       17       23   0.5 |     10   0.333  0.002 |      102      125 |         12   (12s)
   1.5    0.0  0.0 |      844      822  20.5 |    560   0.506  0.114 |    10337    10597 |        525   (12s)
   1.5    1.0  0.0 |      252      245   6.1 |    134   0.369  0.032 |     2543     2601 |        196   (11s)
   1.5    3.0  0.0 |      138      129   3.3 |     69   0.348  0.017 |     1219     1281 |        101   (11s)
   1.5   10.0  0.0 |       62       55   1.4 |     31   0.360  0.007 |      489      524 |         61   (11s)
   2.0    0.0  0.0 |      279      273   6.8 |    151   0.377  0.035 |     2364     2577 |        147   (11s)
   2.0    1.0  0.0 |      135      131   3.3 |     65   0.323  0.017 |     1037     1173 |         86   (11s)
   2.0    3.0  0.0 |       81       74   1.9 |     39   0.336  0.010 |      570      663 |         58   (11s)
   2.0   10.0  0.0 |       36       43   1.0 |     14   0.215  0.005 |      256      297 |         30   (11s)
   2.5    0.0  0.0 |       47       68   1.4 |     26   0.292  0.007 |      268      449 |         28   (11s)
   2.5    1.0  0.0 |       31       50   1.0 |     14   0.209  0.005 |      216      321 |         19   (11s)
   2.5    3.0  0.0 |       23       35   0.7 |     10   0.208  0.004 |      164      221 |         19   (11s)
   2.5   10.0  0.0 |       17       22   0.5 |     10   0.345  0.002 |      102      123 |         12   (11s)

reference: two INDEPENDENT sets covering fraction f each have jaccard f/(2-f): f=0.27 -> 0.157, f=0.10 -> 0.053, f=0.05 -> 0.026
wrote ../results/kc_sparsity2.json
