CS+ = ['ORN_VL2p', 'ORN_DA3', 'ORN_DC3', 'ORN_DM5', 'ORN_VM4', 'ORN_VA7l', 'ORN_DL5', 'ORN_VC5']
CS- = ['ORN_VM5d', 'ORN_DC2', 'ORN_VL1', 'ORN_VA5', 'ORN_VM1', 'ORN_VA7m', 'ORN_DL2d', 'ORN_VM2']
single-glomerulus probe: ORN_VL2p

thresh  aplsc   kk |  CS+ act  CS- act   %KC | shared jaccard  indep |  CS+ spk  CS- spk | 1-glom act
   1.0   0.02  1.0 |      792      935  21.2 |    169   0.108  0.119 |    13575    18056 |        171   (7s)
   1.0   0.05  1.0 |      700      747  17.8 |    109   0.081  0.098 |    11449    11716 |        149   (7s)
   1.0   0.10  1.0 |      554      586  14.0 |     59   0.055  0.075 |     8605     8720 |        123   (7s)
   1.0   0.20  1.0 |      368      381   9.2 |     23   0.032  0.048 |     5234     5158 |         94   (7s)
   1.0   0.50  1.0 |      106      111   2.7 |      2   0.009  0.014 |     1360     1264 |         74   (7s)
   1.0   1.00  1.0 |       26       27   0.7 |      0   0.000  0.003 |      228      249 |         50   (7s)
   1.5   0.02  1.0 |      270      314   7.2 |     17   0.030  0.037 |     3271     3504 |         46   (7s)
   1.5   0.05  1.0 |      234      259   6.1 |      9   0.019  0.031 |     2789     2788 |         42   (7s)
   1.5   0.10  1.0 |      188      213   4.9 |      6   0.015  0.025 |     2114     2093 |         39   (7s)
   1.5   0.20  1.0 |      116      126   3.0 |      3   0.013  0.015 |     1253     1171 |         30   (7s)
   1.5   0.50  1.0 |       35       38   0.9 |      0   0.000  0.005 |      318      299 |         26   (7s)
   1.5   1.00  1.0 |        5        5   0.1 |      0   0.000  0.001 |       42       40 |         21   (7s)
   2.0   0.02  1.0 |       91      113   2.5 |      3   0.015  0.013 |      923      919 |         16   (7s)
   2.0   0.05  1.0 |       79       85   2.0 |      3   0.019  0.010 |      767      615 |         16   (7s)
   2.0   0.10  1.0 |       64       67   1.6 |      1   0.008  0.008 |      581      511 |         15   (7s)
   2.0   0.20  1.0 |       44       33   0.9 |      0   0.000  0.005 |      312      242 |         14   (7s)
   2.0   0.50  1.0 |        8        6   0.2 |      0   0.000  0.001 |       62       45 |         13   (7s)
   2.0   1.00  1.0 |        0        1   0.0 |      0   0.000  0.000 |        0        4 |         12   (7s)

reference: two INDEPENDENT sets covering fraction f each have jaccard f/(2-f): f=0.27 -> 0.157, f=0.10 -> 0.053, f=0.05 -> 0.026
wrote ../results/kc_sparsity4.json
