baseline (mechano 60 Hz only): leg MN 4876 / 600 ms, feed MN 1590
type          n   leg MN  vs base  feed MN
LB3b         11     3754     0.77     1616
LB3a         17     4286     0.88     1590
LB1c         16     4312     0.88     1587
LB4a          4     4432     0.91     1642
LgLG3       162     4440     0.91     1598
PhG8          4     4458     0.91     1585
LgAG1        25     4554     0.93     1591
PhG7          4     4730     0.97     1600
PhG1c         4     4782     0.98     1520
LB3c         23     4793     0.98     1606
LgLG6        16     4800     0.98     1598
WG3          96     4802     0.99     1592
PhG2          4     4814     0.99     1600
LB2a          4     4817     0.99     1590
LB1e         19     4826     0.99     1593
LB3d         26     4826     0.99     1594
LgLG1b      134     4838     0.99     1598
claw_tpGRN   50     4844     0.99     1612
SNch05        8     4844     0.99     1592
LB1a         11     4846     0.99     1594
LgAG2        11     4847     0.99     1602
LB1d          5     4856     1.00     1587
LgLG4        42     4865     1.00     1594
LB1b          6     4872     1.00     1592
LB2c          6     4881     1.00     1593
LgLG5        13     4884     1.00     1593
LB2d          5     4885     1.00     1598
LgAG4         8     4888     1.00     1597
dorsal_tpGRN   10     4898     1.00     1604
PhG9          4     4902     1.01     1634
LgAG6         4     4905     1.01     1591
LB4b          8     4912     1.01     1598
LgAG3         7     4924     1.01     1590
LgAG5         4     4939     1.01     1592
LgLG7        21     4944     1.01     1590
LgLG8        14     4946     1.01     1598
PhG4          4     4963     1.02     1599
SNxxxx        7     4964     1.02     1592
WG2          97     4968     1.02     1590
LgAG8         9     4982     1.02     1598
LgLG2       129     4990     1.02     1587
LgAG7         5     5001     1.03     1605
WG4          96     5002     1.03     1588
WG1          96     5128     1.05     1589
LgLG1a      136     5202     1.07     1584
